dbo,GiaoVien,MaSoCB,nvarchar,20,NO,NULL
dbo,GiaoVien,HoTen,nvarchar,100,NO,NULL
dbo,GiaoVien,GioiTinh,nvarchar,10,YES,NULL
dbo,GiaoVien,NgaySinh,date,NULL,YES,NULL
dbo,GiaoVien,QueQuan,nvarchar,200,YES,NULL
dbo,GiaoVien,DanToc,nvarchar,50,YES,NULL
dbo,GiaoVien,TonGiao,nvarchar,50,YES,NULL
dbo,GiaoVien,SDT,nvarchar,20,YES,NULL
dbo,GiaoVien,TrinhDoChuyenMon,nvarchar,100,YES,NULL
dbo,GiaoVien,TrinhDoLLCT,nvarchar,100,YES,NULL
dbo,GiaoVien,DonViCongTac,nvarchar,200,YES,NULL
dbo,GiaoVien,ChucVu,nvarchar,100,YES,NULL
dbo,GiaoVien,CapBac,nvarchar,100,YES,NULL
dbo,GiaoVien,HeSoLuong,decimal,NULL,YES,NULL
dbo,GiaoVien,ChucDanh,nvarchar,100,YES,NULL
dbo,GiaoVien,HocHam,nvarchar,100,YES,NULL
dbo,GiaoVien,HocVi,nvarchar,100,YES,NULL
dbo,GiaoVien,LinhVucChuyenMon,nvarchar,200,YES,NULL
dbo,GiaoVien,NamDayGioiGanNhat,int,NULL,YES,NULL
dbo,GiaoVien,KhoaId,int,NULL,YES,NULL
dbo,GiaoVien,Id,int,NULL,NO,NULL
dbo,HoiDong,MaHD,nvarchar,20,NO,NULL
dbo,HoiDong,TenHD,nvarchar,200,YES,NULL
dbo,HoiDong,NamHoc,nvarchar,20,YES,NULL
dbo,HoiDong,CapThucHien,nvarchar,50,YES,NULL
dbo,HoiDong,GhiChu,nvarchar,500,YES,NULL
dbo,HoiGiang,MaHG,nvarchar,20,NO,NULL
dbo,HoiGiang,MaSoCB,nvarchar,20,NO,NULL
dbo,HoiGiang,ChucDanhGiangDay,nvarchar,50,YES,NULL
dbo,HoiGiang,TenBai,nvarchar,200,YES,NULL
dbo,HoiGiang,HocPhan,nvarchar,200,YES,NULL
dbo,HoiGiang,Lop,nvarchar,50,YES,NULL
dbo,HoiGiang,ThoiGian,date,NULL,YES,NULL
dbo,HoiGiang,CapThucHien,nvarchar,50,YES,NULL
dbo,HoiGiang,NamHoc,nvarchar,20,YES,NULL
dbo,KetQuaHoiGiang,MaHG,nvarchar,20,NO,NULL
dbo,KetQuaHoiGiang,DiemHieuBiet,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemGioiThieu,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemThucHanh1,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemThucHanh2,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemThucHanh3,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemThucHanh4,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemThucHanh5,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,DiemThucHanhTB,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,TongDiem,decimal,NULL,YES,NULL
dbo,KetQuaHoiGiang,GiaiThuong,nvarchar,50,YES,NULL
dbo,Khoa,Id,int,NULL,NO,NULL
dbo,Khoa,TenKhoa,nvarchar,200,NO,NULL
dbo,Khoa,MaKhoa,nvarchar,50,YES,NULL
dbo,LichGiangDay,Id,int,NULL,NO,NULL
dbo,LichGiangDay,NamHoc,nvarchar,20,NO,NULL
dbo,LichGiangDay,TenLop,nvarchar,200,NO,NULL
dbo,LichGiangDay,TenMon,nvarchar,200,NO,NULL
dbo,LichGiangDay,GiangVienId,int,NULL,NO,NULL
dbo,LichGiangDay,Buoi,nvarchar,20,NO,NULL
dbo,LichGiangDay,NgayHoc,date,NULL,NO,NULL
dbo,LichGiangDay,PhongHoc,nvarchar,100,YES,NULL
dbo,LichGiangDay,SoTiet,int,NULL,NO,NULL
dbo,LichGiangDay,SoSinhVien,int,NULL,NO,NULL
dbo,LichGiangDay,CreatedAt,datetime2,NULL,NO,(sysutcdatetime())
dbo,PhanCongHoiDong,MaHD,nvarchar,20,NO,NULL
dbo,PhanCongHoiDong,MaHG,nvarchar,20,NO,NULL
dbo,SangKien,Id,int,NULL,NO,NULL
dbo,SangKien,Ten,nvarchar,255,NO,NULL
dbo,SangKien,GiangVienId,int,NULL,NO,NULL
dbo,SangKien,TuCach,nvarchar,100,NO,NULL
dbo,SangKien,Loai,nvarchar,100,NO,NULL
dbo,SangKien,LinhVuc,nvarchar,255,YES,NULL
dbo,SangKien,NamHoc,nvarchar,20,YES,NULL
dbo,SangKien,ThoiGianThucHien,nvarchar,255,YES,NULL
dbo,SangKien,DiaDiem,nvarchar,255,YES,NULL
dbo,SangKien,XepLoai,nvarchar,50,YES,NULL
dbo,SangKien,GhiChu,nvarchar,-1,YES,NULL
dbo,SangKien,CreatedAt,datetime2,NULL,NO,(sysutcdatetime())
dbo,ThanhVienHoiDong,MaHD,nvarchar,20,NO,NULL
dbo,ThanhVienHoiDong,MaSoCB,nvarchar,20,NO,NULL
dbo,ThanhVienHoiDong,VaiTro,nvarchar,50,YES,NULL
